Varebetegnelse,KJ pr.,Protein,Fedt,Kulhydrat,Tilsat sukker,Kostfibre,Alkohol,Vand,Kcal pr.,
"Hingino, 32+",1488,"32,8","24,7",1,0,0,0,"37,5",356,
"Hirse, hele korn",1504,11,"4,2","72,8",0,"8,5",0,"8,7",359,
Hirseflager,1564,"12,1","3,3","73,8",0,2,0,"9,8",374,
"Hjerte, høne (kylling), råt",621,"15,6","9,3","0,7",0,0,0,"73,6",148,
"Hjerte, kalv, råt",421,"14,9","3,7","1,8",0,0,0,77,101,
"Hjerte, okse, råt",427,"17,7","3,1","0,7",0,0,0,"77,1",102,
"Hjerte, svin, råt",455,17,"4,3","0,4",0,0,0,"78,6",109,
Honning,1399,"0,3",0,82,0,0,0,18,334,
"Honningmelon, rå",96,"0,6","0,2",5,0,"0,7",0,94,23,
"Hornfisk, rå",464,"21,4","2,7",0,0,0,0,"75,1",111,
"Hummer, kogt",378,"18,7","1,5","0,3",0,0,0,"76,8",90,
"Hummer, konserves",378,"18,7","1,5","0,3",0,0,0,"76,8",90,
"Hummer, rå",395,"19,6","1,3","0,8",0,0,0,76,94,
"Hvalkød, råt",488,"23,5","2,4",0,,0,0,"74,3",117,
"Hvedebrød, bolle, fin, industrifremstillet",1146,"8,8","2,8",54,0,"2,8",0,33,274,
"Hvedebrød, bolle, grov, industrifremstillet",1040,"8,4","2,7",50,0,"5,9",0,37,249,
"Hvedebrød, bolle, grov, med fedtrige frø, industrifremstillet",1211,"9,3","6,6",50,0,"4,6",0,32,289,
"Hvedebrød, bolle, italiensk, industrifremstillet",1129,9,"1,8",55,0,"2,9",0,32,270,
"Hvedebrød, fint, store",1137,"8,5","3,7",52,0,"3,1",0,"34,1",272,
"Hvedebrød, groft uden fedtrige frø, uden kerner",1077,"8,3","2,9",51,0,"4,3",0,"35,4",257,
"Hvedebrød, sandwich/toastbrød med fedtrige frø, industrifremstillet",1130,"8,3","5,6",48,0,"3,8",0,36,270,
"Hvedebrød, store, italiensk",1065,"8,2","1,6","52,6",0,"3,1",0,"35,7",255,
"Hvedebrød, store, med fedtrige frø",1168,"9,3","6,1","48,3",0,"4,1",0,"33,9",279,
"Hvedebrød, toastbrød, fint, industrifremstillet",1073,8,"2,7",51,0,"3,3",0,37,256,
"Hvedebrød, toastbrød, groft, industrifremstillet",1081,"8,3","2,9",51,0,"3,8",0,36,258,
"Hvedegryn, mannagryn",1497,"9,2","1,2","77,7",0,"2,7",0,"11,6",358,
"Hvedekerner, hele/knækkede",1439,"10,7",2,"75,4",0,11,0,"10,4",344,
"Hvedekim, rå",1594,"28,1","9,6","51,3",0,"12,3",0,"6,7",381,
Hvedekimolie,3700,0,100,0,0,0,0,0,884,
Hvedeklid,1216,"16,2","5,3","65,1",0,"40,2",0,"8,2",291,
Hvedemel,1476,"9,6","1,6","75,7",0,"3,7",0,"12,7",353,
"Hvide bønner, tørrede",1356,"21,3","2,7","62,3",0,"18,4",0,"9,8",324,
"Hvidkål, rå",126,"1,2","0,2",7,0,"2,3",0,"90,5",30,
"Hvidløg, rå",671,"6,4","0,5","33,1",0,"2,1",0,"58,6",160,
"Hvidløg, tørret, pulver",1462,"16,8","0,8","72,7",0,"9,9",0,"6,5",349,
"Hvidvin, medium",330,"0,1",0,"2,4",0,0,"9,9","87,5",79,
"Hvidvin, mousserende, champagne",316,"0,3",0,"1,4",0,0,"9,9","88,2",76,
"Hvidvin, Rhinskvin",280,"0,1",0,"2,9",0,0,"7,9",89,67,
"Hvidvin, sød",400,"0,2",0,"5,9",0,0,"10,2","83,4",96,
"Hvidvin, tør",281,"0,1",0,"0,2",0,0,"9,5","89,9",67,
"Hvidvin, uden alkohol",97,"0,2",0,"5,5",0,0,0,"95,1",23,
"Hvidvin, uspec.",345,"0,1",0,"2,6",,0,"10,3","86,9",82,
"Hvilling, rå",333,"18,3","0,6",0,0,0,0,80,80,
"Hyben pulver, tørret",1156,"4,5","1,5",83,0,43,0,"5,8",276,
"Hyben, rå",224,"0,6","0,5","14,7",0,"6,1",0,"83,4",54,
Hybensaft,969,0,0,57,57,0,0,42,232,
"Hyldebær, rå",280,"0,7","0,5","18,4",0,7,0,"79,8",67,
"Hyldebærsaft, sur, koncentreret",129,"0,5","0,5",6,0,0,0,"92,8",31,
"Hyldebærsaft, sød, koncentreret",758,"0,5","0,5",43,41,0,0,"55,8",181,
"Hytteost, 20+",433,"12,2","5,4","1,5",0,0,0,"79,7",103,
"Høne, kød og skind, rå",879,"17,1","15,9",0,0,0,0,"65,5",210,
"Høne, kød, rå",445,"20,3","2,7",0,0,0,0,"74,9",106,
"Hørfrø, rå",2024,25,31,"36,1",0,18,0,"4,9",484,
Hørfrøolie,3700,0,100,0,0,0,0,0,884,
"Ingefær, rod, rå",345,"1,8","0,8","17,8",0,2,0,"78,9",82,
"Is, 3. farvet",778,4,10,20,18,0,0,62,186,
"Ising, rå",343,18,1,0,0,0,0,"81,1",82,
"Ispind, jordbær",661,4,5,24,17,0,0,66,158,
"Ispind, limonade",372,"0,5",2,17,17,0,0,"80,5",89,
"Ispind, vanille",778,4,10,20,19,0,0,"64,9",186,
"Ispind, vanille med chokoladeovertræk",1145,3,19,23,20,0,0,"53,9",274,
"Isvaffel med vaniljeis, uspec.",1157,"3,9","13,4",35,,0,0,"46,8",277,
"Jomfruhummer, rå",395,"19,6","1,3","0,8",0,0,0,76,94,
"Jordbær i sukkerlage, konserves",371,"0,4","0,4",21,"20,1","0,9",0,"79,4",89,
"Jordbær, dybfrost, sukrede",356,"0,5","0,2",21,"11,9","1,9",0,"78,1",85,
"Jordbær, dybfrost, usukrede",146,"0,4","0,1","9,1",0,"2,1",0,90,35,
"Jordbær, rå",170,"0,7","0,6","8,8",0,"1,5",0,"89,6",41,
"Jordbær, syltede",857,"0,3","0,3",50,46,1,0,"49,2",205,
Jordbærmarmelade,934,"0,5","0,5",54,45,"1,2",0,41,223,
"Jordbærsaft, sur, koncentreret",146,"0,5","0,5",7,0,0,0,"91,8",35,
"Jordbærsaft, sød, koncentreret",724,"0,5","0,5",41,40,0,0,"57,8",173,
"Jordnød, tørret",2463,"25,8","49,2","16,1",0,"7,7",0,"6,5",589,
Jordnøddeolie,3700,0,100,0,0,0,0,0,884,
Jordnøddesmør,2622,"22,6","53,7","18,8",0,"7,6",0,"1,1",627,
"Jordskok, rå",274,"2,1","0,6","14,1",0,"2,6",0,"82,1",65,
"Julesalat, rå",81,"1,1","0,2","3,8",0,"1,1",0,"94,5",19,
"Kaffe, drikkeklar",2,"0,1",0,0,0,0,0,"99,4",0,
"Kaffe, instant, decaffeinated, drikkeklar",8,"0,1",0,"0,4",0,0,0,"98,9",2,
"Kaffe, instant, decaffeinated, pulver",1497,"11,6","0,2",76,0,0,0,"3,2",358,
"Kaffe, instant, drikkeklar",7,"0,1",0,"0,3",0,0,0,"99,4",2,
"Kaffe, instant, pulver",1271,"19,5","1,7","61,7",0,"19,1",0,"6,8",304,
"Kaffebønne, ristet, formalet",1660,"14,6","15,4",60,0,"19,8",0,"5,5",397,
"Kakifrugt (Sharon), rå",361,"0,7","0,3",23,0,"5,9",0,"75,5",86,
"Kaktusfigen, rå",161,"0,7","0,5","9,6",0,"3,6",0,"87,6",38,
"Kalkun, bryst (filet), kogt/røget, pålæg",452,21,"1,8","1,7",,0,0,72,108,
"Kalkun, kød og skind, rå",528,"20,2",5,0,0,0,0,"73,6",126,
"Kalkun, kød, rå",454,"21,9","2,2",0,0,0,0,"75,5",109,
"Kalkunkød, hakket, råt",622,"22,2","6,6",0,0,0,0,"71,2",149,
"Kalv og flæsk, hakket, højt fedtindhold, råt",926,"18,8","16,4",0,0,0,0,"65,1",221,
"Kalvekød, fedt, råt",1158,"18,5","22,8",0,0,0,0,59,277,
"Kalvekød, helt magert",449,"21,6","2,2",0,0,0,0,"78,6",107,
"Kalvekød, magert, råt",549,21,"5,2",0,0,0,0,"75,1",131,
"Kalvekød, middelfedt, råt",758,20,"11,3",0,0,0,0,"67,2",181,
Kammerjunkere,1927,"8,3","17,1","69,4",,3,0,"3,3",461,
"Kanel, stang",1005,4,"1,2","80,6",0,"53,1",0,"10,6",240,
"Kanin, kød, rå",525,"22,2",4,0,0,0,0,"74,6",125,
"Kantarel, rå",166,"2,9","1,3","6,7",0,5,0,"87,5",40,
"Karameller, blandede",2023,"2,1","20,9","71,4",48,0,0,"4,8",484,
"Karameller, uspec.",1770,2,"10,6","79,6",,1,0,"7,1",423,
"Karry, pulver",1420,"12,7","13,8","58,4",0,"33,2",0,"9,5",339,
"Karse, frisk",99,"2,8","0,5","2,8",0,"1,6",0,"92,7",24,
"Kartoffel, chips (franske kartofler)",2228,"5,4","31,9",58,0,"3,4",0,1,533,
"Kartoffel, chips (franske kartofler), fedtreducerede",2024,5,23,"65,8",0,"3,4",0,1,484,
"Kartoffel, efterår (oktober til januar), rå",365,"2,2","0,2","19,6",0,"1,4",0,"77,1",87,
"Kartoffel, gammel (februar - juni), rå",345,"2,2","0,3","18,2",0,"1,4",0,"78,3",82,
"Kartoffel, konserves",242,"1,4","0,2","13,6",0,"2,3",0,"84,3",58,
"Kartoffel, ny (maj til september), rå",322,"1,8","0,3","17,2",0,"1,3",0,"79,9",77,
"Kartoffel, pommes frites, friturestegte",1469,"4,9","18,7","42,4",0,3,0,"31,6",351,
"Kartoffel, uspec., rå",342,"1,9","0,3","18,3",0,"1,4",0,"80,5",82,
"Kartoffelchips, grove",2085,"6,1","26,4",61,,"3,6",0,3,498,
Kartoffelmel,1454,"0,2","0,1","85,3",0,"0,3",0,"14,2",348,
"Kartoffelmos, -pulver m/tørmælk",1413,"10,9","1,1","77,7","5,7","14,9",0,"6,6",338,
"Kartoffelmos, -pulver u/tørmælk",1477,"8,2","0,5","85,5","5,7","14,9",0,"3,6",353,
"Kaseinat, natrium-, Damipro RHV",1567,"88,2","1,5",1,0,"0,5",0,6,375,
"Kastanje, ægte, rå",765,2,"2,7","40,7",0,"6,8",0,"51,7",183,
Kastanjebrød,1100,8,"4,1","50,3",0,"4,7",0,"36,5",263,
"Kaviar, uægte (lodderogn)",770,"9,1",14,"5,7",0,0,0,65,184,
"Kaviar, uægte (stenbiderrogn)",444,"12,9","5,7","0,8",0,0,0,"74,4",106,
Kefir,269,"3,5","3,6","4,5",0,0,0,"87,6",64,
"Kiks, fuldkorns-, digestivetype",1936,"6,2","20,5",66,"16,4","5,5",0,"4,5",463,
"Kikærter, tørrede, rå",1540,"20,4","6,9","61,6",0,"12,2",0,"8,4",368,
"Kinakål, pe-tsai, rå",75,"1,3","0,2","3,3",0,"1,2",0,"94,7",18,
"Kinaradise, japanræddike, rå",69,"0,6","0,1","4,1",0,"1,6",0,"94,5",16,
"Kippers i olie, konserves",1033,"20,5","18,5",0,0,0,0,"58,6",247,
"Kirsebær, rå",231,"1,4","0,3","12,2",0,"1,3",0,"85,3",55,
"Kirsebær, syltede",610,1,"0,1",35,31,"0,6",0,"63,7",146,
"Kirsebærsaft, sur, koncentreret",248,"0,5","0,5",13,0,0,0,"85,8",59,
"Kirsebærsaft, sød, koncentreret",724,"0,5","0,5",41,40,0,0,"57,8",173,
"Kiwi, rå",253,1,"0,8","13,6",0,"2,7",0,"84,4",60,
Klipfisk,424,"24,5","0,2",0,0,0,0,"57,3",101,
"Knude, rå",297,"16,4","0,5",0,0,0,0,82,71,
"Knudekål, glaskål, rå",106,"1,7","0,1","6,2",0,"3,6",0,91,25,
"Knækbrød, hvede-, fint",1670,"11,1","7,1","74,4",0,"5,1",0,"5,5",399,
"Knækbrød, hvede-, granhamstype",1572,13,"6,2",71,0,"9,5",0,7,376,
"Knækbrød, rug-, fint",1451,"10,7",2,78,0,"14,5",0,"6,6",347,
"Knækbrød, rug-, groft (Husmans)",1436,"9,5","2,2","78,8",0,"16,3",0,7,343,
Kogechokolade,2344,"5,7","34,3",58,50,"0,9",0,"0,7",560,
Kogt oksebryst,1175,21,"22,1",0,0,0,0,"55,5",281,
Kokosfedt,3700,0,100,0,0,0,0,0,884,
"Kokosfedt, Palmin",3700,0,100,0,0,0,0,0,884,
Kokosmel,2833,"6,4","65,7","23,9",0,"12,6",0,"2,3",677,
"Kokosnød, rå",1553,"4,4","36,5","14,9",0,14,0,"41,2",371,
"Konfektureprodukt, skumvare, uspec.",1467,"5,2","0,9","79,2",,"0,1",0,"14,7",351,
"Kongeål (pighaj), rå",654,"19,1","8,9",0,0,0,0,"69,7",156,
"Koriander, blade, friske",92,"2,1","0,5","3,7",0,"2,8",0,"92,2",22,
"Koriander, blade, tørrede",1342,"21,9","4,8","52,1",0,"10,4",0,"7,3",321,
"Koriander, frø",1426,"12,4","17,8","54,9",0,"41,9",0,"8,9",341,
"Krabbe, kogt",543,"20,1","5,2","0,5",0,0,0,"72,5",130,
"Krabbekløer, konserves",475,"22,9","1,8","1,1",0,0,0,"72,4",114,
"Krabbekløer, rå",475,"22,9","1,8","1,1",0,0,0,"72,4",114,
"Krebs, rå",287,"14,6","0,5","1,2",0,0,0,"82,5",69,
Krydder,1593,"9,3","5,8","73,5",0,"3,3",0,"7,8",381,
"Kråse, kylling, rå",475,"18,2","4,2","0,6",,0,0,"76,2",114,
"Kuller, paneret, stegt",827,25,10,2,0,"0,2",0,62,198,
"Kuller, rå",358,"18,9",1,0,0,0,0,"80,4",86,
"Kulmule, rå",295,"16,5","0,4",0,0,0,0,82,71,
"Kumquat, guldorange, dværgappelsin, rå",273,"1,1","1,5",14,0,"4,4",0,"82,9",65,
"Kvark, 45+",820,"11,2","15,4","3,5",0,0,0,"69,2",196,
"Kvark, 45+, med vanille",813,"7,9",15,"7,3","4,1",0,0,67,194,
"Kvark, 5+",277,"11,9","0,4","3,5",0,0,0,"83,2",66,
"Kvæde, rå",254,"0,4","0,1","15,3",0,"1,9",0,"83,8",61,
"Kylling, bryst (filet), kogt, pålæg",475,"20,6","3,2","0,4",,0,0,"72,4",114,
"Kylling, bryst, kød og skind, rå",621,"21,5","6,9",0,0,0,0,70,148,
"Kylling, kød og skind, friturestegt",1101,"28,3","16,3",1,0,0,0,"53,6",263,
"Kylling, kød og skind, grillstegt",816,"24,5","10,8",0,0,0,0,62,195,
"Kylling, kød og skind, paneret, friturestegt",1183,"22,5","17,4","9,4",0,"0,3",0,"49,4",283,
"Kylling, kød og skind, rå",756,"18,8","11,8",0,0,0,0,"69,6",181,
"Kylling, kød, rå",551,20,"5,7",0,0,0,0,74,132,
"Kylling, lår, kød og skind, rå",651,"18,9","8,9",0,0,0,0,71,156,
"Kylling, vinge, kød og skind, rå",778,"19,2","12,2",0,0,0,0,67,186,
"Kyllingepølse, pålæg",806,"12,8",15,"2,1",,"0,2",0,"66,9",193,
Kærnemælk,153,"3,4","0,5","4,5",0,0,0,"90,8",37,
Kærnemælk med citronsaft,217,"3,3","0,5","8,4",4,0,0,"86,6",52,
"Kødboller, dybfrost",679,"10,5","9,4",9,0,0,0,67,162,
"Kødboller, konserves",525,"7,1","9,6","2,9",0,0,0,"78,5",125,
"Kødextrakt, flydende, Bovril",740,"39,1","0,7","2,9",0,0,0,"38,7",177,
"Kødextrakt, terning",1004,16,"8,9","23,7",0,0,0,"3,3",240,
Kødpølse,1110,"10,5","23,6","3,6",,"0,3",0,59,265,
"Kødpølse, fedtreduceret",426,10,"3,4",8,0,"0,6",0,74,102,
"Kørvel, hakket, dybfrost",105,"2,2","0,6","3,7",0,2,0,"93,1",25,
"Kørvel, rå",247,"4,1","0,6","10,2",0,2,0,"81,6",59,
"Kålrabi (kålroe), rå",141,1,"0,1","8,6",0,"2,9",0,"89,6",34,
"Lakrids, salt",1507,"4,4",1,"82,1",36,0,0,"10,4",360,
"Lakrids, sød",1463,"3,6",2,"78,1",41,0,0,"14,1",350,
"Lakrids, uspec.",1525,"3,7","1,2","83,4",48,0,0,"10,7",364,
Lakridskonfekt,1674,"2,3","6,2","82,7",50,0,0,"7,5",400,
"Laks, gravad",748,"21,2","9,2","2,8","2,8",0,0,61,179,
"Laks, konserves",648,"20,3","8,2",0,0,0,0,"68,9",155,
"Laks, røget, udskåret",675,"21,4","8,4",0,0,0,0,"63,1",161,
"Laks, rå",742,"19,9","10,9",0,0,0,0,"68,2",177,
"Laks, saltet",1202,"31,1","18,2",0,0,0,0,68,287,
"Lammebrissel, rå",549,"15,3","7,8",0,0,0,0,"75,5",131,
"Lammekød, bov, rå",807,"18,5","13,3",0,0,0,0,"67,4",193,
"Lammekød, bryst, råt",1523,"14,5","34,5",0,0,0,0,"50,2",364,
"Lammekød, kølle, afpudset, rå",547,"20,2","5,5",0,0,0,0,"73,8",131,
"Lammekød, kølle, med fedt, rå",836,"18,5","14,1",0,0,0,0,"66,5",200,
"Lammekød, kølle, uspec., rå",704,"20,1","9,8",0,0,0,0,"69,1",168,
"Lammekød, rygstykke, råt",1401,"15,8","30,6",0,0,0,0,"52,4",335,
"Lammekød, slag, råt",1523,"14,5","34,5",0,0,0,0,"50,2",364,
"Lammekød, uspec., råt",1377,"14,6","30,5",0,0,0,0,"54,4",329,
"Lange, filet, rå",344,"19,8","0,2",0,0,0,0,"79,2",82,
"Letmælk, konventionel (ikke-økologisk)",202,"3,5","1,6","4,9",0,0,0,"89,3",48,
"Letmælk, økologisk",202,"3,5","1,6","4,9",0,0,0,"89,3",48,
Letmælksyoghurt med saft,312,"3,3","1,6","11,6",4,0,0,"82,6",75,
"Lever, ande, rå",548,"18,7","4,6","3,5",0,0,0,"71,8",131,
"Lever, gåse, rå",545,"16,4","4,3","6,3",0,0,0,"71,8",130,
"Lever, høne, rå",570,"22,1","4,7","1,2",0,0,0,"70,3",136,
"Lever, kalv, rå",502,19,3,4,0,0,0,73,120,
"Lever, kylling, rå",493,"19,1","4,1",1,0,0,0,"74,9",118,
"Lever, okse, rå",533,"20,3",3,"4,5",0,0,0,72,127,
"Lever, svin, rå",524,"21,1","3,4","2,3",0,0,0,72,125,
Leverpostej,989,11,"19,2","5,6",0,"0,4",0,"62,1",236,
"Leverpostej, fedtreduceret",636,10,"6,7",13,,"0,3",0,68,152,
Leverpølse,1625,"13,4","35,8","4,3",0,"0,1",0,"43,6",388,
Levertran (Sej),3696,0,"99,9",0,0,0,0,,883,
"Likør, Advocaat",1047,"4,3","5,8","24,7","24,7",0,"11,7","52,1",250,
"Likør, brun cacao",1452,0,0,53,,0,19,76,347,
"Likør, Cherry Brandy",987,0,0,"28,4","28,4",0,"17,4","52,1",236,
"Likør, Crème de Menthe",1582,0,"0,3","41,6","41,6",0,"29,8","28,3",378,
"Likør, Curacao",1266,0,0,"26,9","26,9",0,"27,9","45,6",303,
"Likør, kaffe",1438,"0,1","0,3","46,8","46,8",0,"21,7",31,344,
"Likør, kaffe med fløde",1384,"2,8","15,7","20,9",20,0,"13,8","46,5",331,
"Likør, uspec.",1122,0,0,29,29,0,"21,7",48,268,
"Lime, rå",173,"0,7","0,2","10,5",0,"2,8",0,"88,3",41,
"Limonadeis, uspec.",413,0,"2,1","19,7",,0,0,"78,1",99,
"Linser, tørrede, uspec.",1468,"26,2","2,5","59,3",0,"8,7",0,"9,7",351,
"Linsespirer, rå",523,9,"0,6","22,1",0,"3,1",0,"67,3",125,
"Litchi, lichiblomme, kinesisk blomme, rå",297,"0,8","0,4","16,5",0,"1,3",0,"81,8",71,
"Loganbær, frosne",210,"1,5","0,3",13,0,"5,3",0,"84,6",50,
"Loquat, japansk mispel, rå",205,"0,4","0,2","12,1",0,"1,7",0,"86,7",49,
"Lubbe, rå",347,"19,1","0,6",0,0,0,0,"79,1",83,
"Lucerne, alfalfa, frø",1702,"35,1","12,6","41,8",0,"7,9",0,"7,4",407,
"Lucernespirer, rå",113,4,"0,7","2,1",0,"1,9",0,"92,8",27,
"Læskedrik (light), koncentreret (1+10), uden tilsat sukker, uspec.",0,0,0,0,0,0,0,"96,9",0,
"Læskedrik, koncentreret (1+5), tilsat sukker, uspec.",1071,0,0,63,"62,4",0,0,"36,4",256,
"Løg, hakkede, dybfrost",117,"0,8","0,1","6,8",0,"1,8",0,92,28,
"Løg, ristede",2510,6,48,39,0,"3,4",0,5,600,
"Løg, rå",191,"1,6","0,3",10,0,"1,9",0,"87,7",46,
Madeira,692,0,0,10,10,0,18,70,165,
"Majroe, rå",110,"0,6","0,1","6,7",0,2,0,92,26,
"Majs, kerner, dybfrost",472,"3,3","1,4","22,6",0,"2,2",0,72,113,
"Majs, kerner, konserves",428,"3,1","1,1",21,0,"2,5",0,"73,8",102,
"Majskolbe, rå",383,"3,7","1,8","16,4",0,"2,8",0,"77,5",92,
Majsmel,1528,"6,8","2,8","78,7",0,"3,2",0,"11,1",365,
Majsolie,3700,0,100,0,0,0,0,0,884,
Majsstivelse,1534,"0,4","0,6","88,8",0,"0,5",0,"10,2",367,
"Makaroni, spaghetti, fuldkorns-, rå",1490,"13,1","2,9","73,3",0,"9,6",0,"9,3",356,
"Makaroni, spaghetti, kogt",573,5,"0,4","28,9",0,2,0,"67,4",137,
"Makaroni, spaghetti, rå",1539,"12,3","1,8",76,0,"3,2",0,"9,5",368,
"Makrel i tomat, konserves",825,"14,4","15,5","0,5",0,"0,2",0,"67,8",197,
"Makrel, filet, naturel, konserves",943,"19,8","16,4",0,0,0,0,"62,3",225,
"Makrel, røget",1220,"18,9","24,3",0,0,0,0,"55,7",292,
"Makrel, rå",1210,"18,1","24,4",0,0,0,0,"56,6",289,
"Mandarin, konserves",257,"0,5","0,3","14,3",0,"0,6",0,"84,5",61,
"Mandarin, rå",201,"0,9","0,3","10,9",0,"1,2",0,"87,5",48,
"Mandel, rå",2214,"20,5","39,1","29,5",0,"9,2",0,8,529,
"Mangofrugt, mangoblomme, mangga, rå",282,"0,5","0,5",16,0,"1,9",0,"81,7",67,
"Maniok, cassava, rå",666,"1,4","0,3","38,1",0,"1,8",0,"59,7",159,
Marcipan,1997,11,"26,5","50,4",40,3,0,"10,8",477,
"Marcipanprodukt, m/chokolade, uspec.",2019,"4,9","25,7",59,,2,0,"9,3",483,
"Margarine, 70 %, bordbrug, blød, vegetabilsk fedt",2634,"0,8","70,6","0,5",0,0,0,"26,1",630,
